JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|ReqGRES|Timelimit|QOS|NodeList|JobName|NTasks
1045|1045|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:28:04|2021-02-11T23:28:04|2021-02-12T02:22:06|2021-02-12T02:42:55|00:20:49|0:0|COMPLETED|1|2|2|2800Mc|gpu:2|00:27:00|normal|g1|jobid_1045|
1046|1046|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:28:10|2021-02-11T23:28:10|2021-02-12T00:29:37|2021-02-12T00:50:37|00:21:00|0:0|COMPLETED|1|6|6|2800Mc||00:21:00|normal|g1|jobid_1046|
1047|1047|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:28:37|2021-02-11T23:28:37|2021-02-11T23:34:30|2021-02-11T23:42:31|00:08:01|0:0|COMPLETED|1|12|12|500000Mn||00:23:00|normal|b1|jobid_1047|
1048|1048|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:28:45|2021-02-11T23:28:45|2021-02-11T23:40:48|2021-02-11T23:44:25|00:03:37|0:0|COMPLETED|8|96|96|2800Mc||00:05:00|normal|g1,m[2-4],n[1-4]|jobid_1048|
1049|1049|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:28:54|2021-02-11T23:28:54|2021-02-11T23:45:01|2021-02-11T23:45:01|00:00:00|0:0|COMPLETED|1|12|12|2800Mc|gpu:2|00:05:00|normal|g1|jobid_1049|
1050|1050|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:30:05|2021-02-11T23:30:05|2021-02-12T02:24:37|2021-02-12T02:27:58|00:03:21|0:0|COMPLETED|1|1|1|500000Mn||00:09:00|normal|b1|jobid_1050|
1051|1051|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:30:11|2021-02-11T23:30:11|2021-02-12T00:29:07|2021-02-12T00:37:26|00:08:19|0:0|COMPLETED|1|1|1|2800Mc||00:17:00|normal|b1|jobid_1051|
1052|1052|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:32:34|2021-02-11T23:32:34|2021-02-12T00:40:39|2021-02-12T00:50:37|00:09:58|0:0|COMPLETED|1|12|12|500000Mn||00:12:00|normal|b1|jobid_1052|
1053|1053|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:32:53|2021-02-11T23:32:53|2021-02-11T23:45:01|2021-02-11T23:55:44|00:10:43|0:0|COMPLETED|1|12|12|500000Mn||00:19:00|normal|b1|jobid_1053|
1054|1054|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:33:48|2021-02-11T23:33:48|2021-02-11T23:44:31|2021-02-11T23:44:31|00:00:00|0:0|COMPLETED|3|36|36|2800Mc||00:05:00|normal|b1,g1,m4|jobid_1054|
1055|1055|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:34:07|2021-02-11T23:34:07|2021-02-12T00:15:34|2021-02-12T00:29:25|00:13:51|0:0|COMPLETED|1|12|12|2800Mc||00:19:00|normal|g1|jobid_1055|
1056|1056|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:34:57|2021-02-11T23:34:57|2021-02-12T01:52:24|2021-02-12T01:53:12|00:00:48|0:0|COMPLETED|1|1|1|2800Mc||00:20:00|normal|n4|jobid_1056|
1057|1057|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:35:30|2021-02-11T23:35:30|2021-02-12T00:40:09|2021-02-12T01:00:01|00:19:52|0:0|COMPLETED|1|6|6|2800Mc||00:21:00|normal|n3|jobid_1057|
1058|1058|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:35:52|2021-02-11T23:35:52|2021-02-12T00:33:38|2021-02-12T00:40:25|00:06:47|0:0|COMPLETED|1|6|6|500000Mn||00:08:00|normal|b1|jobid_1058|
1059|1059|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:36:11|2021-02-11T23:36:11|2021-02-11T23:36:31|2021-02-11T23:39:11|00:02:40|0:0|COMPLETED|1|6|6|2800Mc||00:05:00|normal|m1|jobid_1059|
1060|1060|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:36:33|2021-02-11T23:36:33|2021-02-11T23:37:01|2021-02-11T23:41:57|00:04:56|0:0|COMPLETED|1|6|6|2800Mc||00:05:00|normal|m1|jobid_1060|
1061|1061|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:37:44|2021-02-11T23:37:44|2021-02-11T23:44:25|2021-02-12T00:12:25|00:28:00|0:0|COMPLETED|3|36|36|2800Mc||00:28:00|normal|m[1-3]|jobid_1061|
1062|1062|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:38:13|2021-02-11T23:38:13|2021-02-11T23:54:02|2021-02-11T23:57:59|00:03:57|0:0|COMPLETED|1|1|1|2800Mc||00:09:00|normal|g1|jobid_1062|
1063|1063|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:38:46|2021-02-11T23:38:46|2021-02-12T00:29:37|2021-02-12T00:34:00|00:04:23|0:0|COMPLETED|1|1|1|2800Mc|gpu:1|00:21:00|normal|g1|jobid_1063|
1064|1064|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:38:55|2021-02-11T23:38:55|2021-02-12T01:12:44|2021-02-12T01:15:13|00:02:29|0:0|COMPLETED|1|6|6|2800Mc||00:28:00|normal|m4|jobid_1064|
1065|1065|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:39:46|2021-02-11T23:39:46|2021-02-12T00:05:33|2021-02-12T00:06:39|00:01:06|0:0|COMPLETED|1|6|6|2800Mc||00:05:00|normal|n4|jobid_1065|
1066|1066|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:39:56|2021-02-11T23:39:56|2021-02-11T23:44:25|2021-02-11T23:54:53|00:10:28|0:0|COMPLETED|4|48|48|2800Mc||00:20:00|normal|n[1-4]|jobid_1066|
1067|1067|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:41:22|2021-02-11T23:41:22|2021-02-12T00:29:07|2021-02-12T00:33:32|00:04:25|0:0|COMPLETED|1|6|6|500000Mn||00:26:00|normal|b1|jobid_1067|
